Rapport sur le planning individuel,,SG_fichier pour LM Planning individuel full periode de planif,,,,,,,
Période (dates) :,,6/26/17 - 7/9/17,,,,,,,
Site,Fuseau horaire,Equipe,ID employé,Agent,Date,Heures payées,Etat du planning,Heure de début :,Heure de fin :
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,7/2/17,,Jour de repos,,
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,7/3/17,,Jour de repos,,
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,7/4/17,7:48,SG- Telephone 3933_SG CRC Nanterre,8:30 AM,5:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,8:30 AM,11:15 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,05 Pause Matin,11:15 AM,11:30 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,11:30 AM,12:35 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Repas 5h,12:35 PM,1:32 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,1:32 PM,4:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,10 Pause AM,4:15 PM,4:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,4:30 PM,5:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,7/5/17,7:48,SG- Telephone 3933_SG CRC Nanterre,9:15 AM,6:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,9:15 AM,10:30 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,05 Pause Matin,10:30 AM,10:45 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,10:45 AM,12:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Repas 5h,12:15 PM,1:12 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,1:12 PM,4:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,10 Pause AM,4:45 PM,5:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,5:00 PM,6:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,7/6/17,7:48,"SG- Telephone 3933_SG CRC Nanterre, SG- Email Entrant_SG- ",9:15 AM,6:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,9:15 AM,12:10 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,05 Pause Matin,12:10 PM,12:25 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,12:25 PM,12:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Email Site 1,12:45 PM,2:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Repas 5h,2:00 PM,2:57 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,2:57 PM,5:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,10 Pause AM,5:00 PM,5:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,5:15 PM,6:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,7/7/17,7:48,SG- Telephone 3933_SG CRC Nanterre,8:00 AM,4:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,8:00 AM,9:15 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,05 Pause Matin,9:15 AM,9:30 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,9:30 AM,1:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Repas 5h,1:00 PM,1:57 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,1:57 PM,3:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,10 Pause AM,3:15 PM,3:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,3:30 PM,4:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,7/8/17,7:48,"SG- Campagne Sortant_SG- CRC Nanterre, SG- Telephone ",8:45 AM,5:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,8:45 AM,11:40 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,05 Pause Matin,11:40 AM,11:55 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,11:55 AM,1:55 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Repas 5h,1:55 PM,2:52 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Sortant S1,2:52 PM,4:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,10 Pause AM,4:45 PM,5:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Sortant S1,5:00 PM,5:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,7/9/17,,Jour de repos,,
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,6/26/17,,Jour de repos,,
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,6/27/17,7:48,"SG- Telephone 3933_SG CRC Nanterre, SG- Email Entrant_SG- ",10:15 AM,7:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,10:15 AM,12:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,05 Pause Matin,12:00 PM,12:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,12:15 PM,1:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Repas 5h,1:00 PM,1:57 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,1:57 PM,5:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,10 Pause AM,5:00 PM,5:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Email Site 1,5:15 PM,6:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,6:00 PM,7:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,6/28/17,7:48,SG- Telephone 3933_SG CRC Nanterre,8:30 AM,5:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,8:30 AM,11:15 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,05 Pause Matin,11:15 AM,11:30 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,11:30 AM,12:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Repas 5h,12:15 PM,1:12 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,1:12 PM,4:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,10 Pause AM,4:00 PM,4:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,4:15 PM,5:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,6/29/17,7:48,SG- Telephone 3933_SG CRC Nanterre,10:30 AM,7:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,10:30 AM,12:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,05 Pause Matin,12:00 PM,12:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,12:15 PM,1:00 PM
